gender,age
Female,65
Male,60
NA,NA
NA,NA
Female,NA
Female,33
Male,20
Female,NA
Male,76
Female,61
Male,37
Male,23
Female,71
Male,21
Male,75
Female,20
Female,65
Female,56
Female,22
Female,33
Male,NA
Male,31
Female,55
Female,33
Male,37
Male,53
Female,43
Female,44
Male,32
Male,65
Female,30
Female,52
Male,34
Male,53
Female,NA
Female,62
Female,62
Male,42
NA,NA
Male,29
Female,53
Female,51
Female,24
Male,51
Female,26
Male,37
Female,28
Male,30
Male,57
Male,45
Female,43
Female,31
Female,23
Female,64
Female,82
Male,NA
Male,58
Male,89
Male,51
Male,78
NA,NA
Male,NA
Male,NA
Female,42
Male,64
Female,51
Female,NA
Female,51
Male,50
Female,55
Male,57
Male,62
Female,62
Male,33
Female,72
Female,64
Male,42
Female,73
Male,49
Female,63
Female,32
Male,22
Male,65
Female,71
Male,43
Female,55
Female,33
Male,28
Female,62
Female,55
Male,41
Male,66
Male,74
Female,NA
Male,51
Female,66
Male,70
Female,NA
Female,57
Male,60
Male,41
Male,56
Female,46
Female,41
Female,22
Male,61
Male,79
Male,38
Female,64
Male,68
Male,28
Male,33
Female,38
Female,32
Female,41
Female,54
NA,NA
Female,71
Female,89
Female,63
Male,73
Female,38
Female,59
Female,56
Male,25
Female,28
Female,24
Male,37
Female,40
Female,61
Female,67
Female,25
Male,58
Female,84
Female,68
Female,63
Female,36
Male,67
Female,53
Female,60
Male,87
Female,74
Female,66
Female,46
Male,43
Female,NA
Male,49
Male,74
Female,54
Male,53
Female,NA
Male,62
Female,65
Female,41
Male,46
Female,64
Female,79
Female,33
Male,74
Female,75
Male,74
Male,65
Female,41
NA,NA
Male,57
Female,35
Female,36
Female,43
None of these,NA
Female,44
Female,67
Male,45
Female,NA
Female,36
Female,40
Male,33
Male,57
Female,32
Male,69
Male,67
Male,28
Female,41
Female,45
NA,NA
Male,NA
Female,64
Male,41
Male,52
Female,58
Female,NA
Female,79
Male,NA
Female,85
Male,NA
Female,53
Female,59
Male,39
Female,50
Female,37
Male,35
None of these,42
Female,57
Female,28
Female,37
Female,72
Female,34
Female,63
Female,51
Male,33
Female,70
Male,59
Female,44
Female,78
Female,NA
Female,46
Male,37
Female,49
None of these,30
Male,50
Male,67
Female,42
Female,20
Female,65
Female,36
Male,NA
Male,60
Male,47
Female,29
Female,60
Male,35
Female,43
Female,64
Female,34
Male,39
Male,68
Female,32
Female,29
Female,45
Female,42
Female,74
NA,NA
Male,32
Male,38
Female,60
Male,NA
Female,52
Male,67
Male,57
Male,NA
Female,38
Female,67
Male,37
Male,58
Male,NA
Male,33
Male,72
Male,36
Female,30
Female,NA
Male,46
Female,33
Female,34
Male,52
Male,39
Female,78
Female,27
Female,53
Female,61
Male,37
Female,48
Male,25
Female,32
Male,33
Male,69
Female,57
Male,69
Male,60
Male,NA
Male,61
Male,61
Female,65
Female,37
Male,65
Male,63
Female,34
Male,65
Female,NA
Female,29
Female,67
Female,29
NA,NA
Male,69
Female,44
Male,35
Male,57
Female,NA
Female,60
Male,66
Male,32
Male,72
Female,NA
Male,24
Female,57
Male,76
Female,52
Female,64
Female,36
Male,42
Female,39
Male,66
Female,44
Female,63
Female,59
Female,70
Female,59
Male,66
Female,74
Male,80
Male,75
Male,49
Male,42
Female,60
Female,37
Male,37
Male,27
Female,67
